,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
1008,P47985,كفالة حلقات تحفيظ القرآن الكريم,"200,000ر.س",31/03/2024,800,المواطنون والمقيمون بالمملكة,"11,605",الجمعية  الخيرية لتحفيظ القرآن الكريم بعشيرة,مكة المكرمة,https://ehsan.sa/projects/0/46986?amount=null
1009,P47695,تأثيث منازل المحتاجين,"322,400ر.س",31/03/2024,62,المواطنون,"20,657",جمعية البر الخيرية بمركز الجائزة,الجائزة,https://ehsan.sa/projects/0/46696?amount=null
1010,P48033,قسطرة قلب لمريضة متعففة,"18,454ر.س",31/03/2024,1,المقيمون بالمملكة,937,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47034?amount=null
1011,P47996,وجبات إفطار الصائمين,"225,000ر.س",31/03/2024,750,المواطنون,"11,706",جمعية أصدقاء العمل التطوعي بالجوف (يمناكم),سكاكا,https://ehsan.sa/projects/0/46997?amount=null
1012,P48002,كفالة الأرامل والمطلقات,"280,000ر.س",31/03/2024,350,المواطنون,"6,526",الجمعية الخيرية بأبي عريش,أبي عريش,https://ehsan.sa/projects/0/47003?amount=null
1013,P48004,رحلات العمرة للمحتاجين,"50,625ر.س",31/03/2024,45,المواطنون,"3,738",جمعية إجلال لمساندة كبار السن بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/47005?amount=null
1014,P48005,رحلات العمرة للمحتاجين,"240,000ر.س",31/03/2024,960,المواطنون والمقيمون بالمملكة,"18,591",جمعية الدعوة والإرشاد بمحافظة الدلم,الدلم,https://ehsan.sa/projects/0/47006?amount=null
1015,P48010,سداد إيجار منازل الأسر المتعففة,"261,000ر.س",31/03/2024,58,المواطنون والمقيمون بالمملكة,"6,465",الجمعية السعودية الخيرية للفصام ( احتواء),الرياض,https://ehsan.sa/projects/0/47011?amount=null
1016,P48008,العمليات الجراحية للمحتاجين,"200,000ر.س",31/03/2024,40,المواطنون والمقيمون بالمملكة,"9,381",جمعية مراس الصحية,أبها,https://ehsan.sa/projects/0/47009?amount=null
1017,P48012,سحور الصائمين في الحرم,"450,000ر.س",31/03/2024,"30,000",المواطنون والمقيمون بالمملكة,"34,730",جمعية عائل للرعاية الأسرية بمحافظة تربة,مكة المكرمة,https://ehsan.sa/projects/0/47013?amount=null
1018,P47770,إعانة أسر السجناء,"300,070ر.س",31/03/2024,74,المواطنون,"14,611",جمعية ايأدي الأمل للتوعية بأضرار المخدرات ورعاية المتعافين,محايل عسير,https://ehsan.sa/projects/0/46771?amount=null
1019,P48014,وجبات الإفطار في ساحات الحرم المكي,"390,000ر.س",31/03/2024,"30,000",المواطنون والمقيمون بالمملكة,"24,545",الجمعية الخيرية ببحرة (يسر),مكة المكرمة,https://ehsan.sa/projects/0/47017?amount=null
1020,P47671,البرامج التأهيلية للمتعافين من الإدمان,"120,000ر.س",31/03/2024,100,المواطنون,"7,991",جمعية واثق,تبوك,https://ehsan.sa/projects/0/46672?amount=null
1021,P48017,عملية قلب مفتوح لمريض متعفف,"75,000ر.س",31/03/2024,1,المقيمون بالمملكة,"5,025",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47018?amount=null
1022,P47814,تغطية تكاليف الولادة للمحتاجين,"301,500ر.س",31/03/2024,67,المواطنون والمقيمون بالمملكة,"18,349",جمعية زمزم الصحية,جدة,https://ehsan.sa/projects/0/46815?amount=null
1023,P47655,عربات بيع الطعام للأرامل والمطلقات,"297,000ر.س",31/03/2024,9,المواطنون,"13,406",جمعية المودة للتنمية الأسرية,جدة,https://ehsan.sa/projects/0/46656?amount=null
1024,P48006,زراعة القوقعة لطفلة,"121,900ر.س",30/03/2024,1,المقيمون بالمملكة,"5,027",الجمعية الصحية التطوعية في الزلفي,الزلفي,https://ehsan.sa/projects/0/47007?amount=null
1025,P47997,وجبات الإفطار في ساحات الحرم المكي,"300,000ر.س",30/03/2024,"20,000",المواطنون والمقيمون بالمملكة,"14,196",جمعية أرزاق لحفظ النعمة,مكة المكرمة,https://ehsan.sa/projects/0/46998?amount=null
1026,P48009,علاج الكلى لمريضة متعففة,"39,900ر.س",30/03/2024,1,المقيمون بالمملكة,"1,556",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47010?amount=null
1027,P48011,عملية إغلاق ثقب القلب لطفل متعفف,"64,500ر.س",30/03/2024,1,المقيمون بالمملكة,"3,375",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47012?amount=null
